league,league_name,team_id,team_name,ovr
cs,中超,cs01,上海海港,78
cs,中超,cs02,山东泰山,77
cs,中超,cs03,成都蓉城,75
cs,中超,cs04,北京国安,75
cs,中超,cs05,武汉三镇,74
cs,中超,cs06,浙江队,73
cs,中超,cs07,天津津门虎,73
cs,中超,cs08,上海申花,73
cs,中超,cs09,河南队,72
cs,中超,cs10,长春亚泰,72
cs,中超,cs11,沧州雄狮,71
cs,中超,cs12,青岛海牛,71
cs,中超,cs13,梅州客家,70
cs,中超,cs14,南通支云,70
cs,中超,cs15,深圳新鹏城,69
cs,中超,cs16,云南玉昆,68
csl2,中甲,csl201,广州队,67
csl2,中甲,csl202,大连英博,66
csl2,中甲,csl203,重庆铜梁龙,66
csl2,中甲,csl204,苏州东吴,64
csl2,中甲,csl205,广西平果哈嘹,63
csl2,中甲,csl206,南京城市,63
csl2,中甲,csl207,辽宁铁人,62
csl2,中甲,csl208,石家庄功夫,62
csl2,中甲,csl209,广东广州豹,62
csl2,中甲,csl210,佛山南狮,61
csl2,中甲,csl211,青岛红狮,61
csl2,中甲,csl212,无锡吴钩,61
csl2,中甲,csl213,延边龙鼎,60
csl2,中甲,csl214,黑龙江冰城,60
csl2,中甲,csl215,江西庐山,60
csl2,中甲,csl216,上海嘉定汇龙,60
epl,英超,epl01,曼城,87
epl,英超,epl02,阿森纳,85
epl,英超,epl03,利物浦,84
epl,英超,epl04,曼联,82
epl,英超,epl05,切尔西,82
epl,英超,epl06,托特纳姆热刺,81
epl,英超,epl07,纽卡斯尔联,80
epl,英超,epl08,阿斯顿维拉,79
epl,英超,epl09,布莱顿,78
epl,英超,epl10,西汉姆联,77
epl,英超,epl11,水晶宫,76
epl,英超,epl12,布伦特福德,76
epl,英超,epl13,富勒姆,75
epl,英超,epl14,狼队,75
epl,英超,epl15,埃弗顿,75
epl,英超,epl16,诺丁汉森林,75
epl,英超,epl17,伯恩茅斯,74
epl,英超,epl18,莱斯特城,74
epl,英超,epl19,伊普斯维奇,73
epl,英超,epl20,南安普顿,73
efl,英冠,efl01,利兹联,76
efl,英冠,efl02,伯恩利,75
efl,英冠,efl03,谢菲尔德联,74
efl,英冠,efl04,桑德兰,73
efl,英冠,efl05,米德尔斯堡,72
efl,英冠,efl06,考文垂,71
efl,英冠,efl07,诺维奇城,71
efl,英冠,efl08,西布罗姆维奇,70
efl,英冠,efl09,沃特福德,70
efl,英冠,efl10,布里斯托尔城,69
efl,英冠,efl11,普雷斯顿,68
efl,英冠,efl12,赫尔城,68
efl,英冠,efl13,斯旺西城,68
efl,英冠,efl14,米尔沃尔,67
efl,英冠,efl15,加的夫城,67
efl,英冠,efl16,女王公园巡游者,66
efl,英冠,efl17,斯托克城,66
efl,英冠,efl18,布莱克本流浪者,66
efl,英冠,efl19,德比郡,66
efl,英冠,efl20,卢顿,66
efl,英冠,efl21,牛津联,65
efl,英冠,efl22,朴茨茅斯,65
efl,英冠,efl23,谢周三,65
efl,英冠,efl24,普利茅斯,64
laliga,西甲,laliga01,皇家马德里,87
laliga,西甲,laliga02,巴塞罗那,85
laliga,西甲,laliga03,马德里竞技,84
laliga,西甲,laliga04,毕尔巴鄂竞技,80
laliga,西甲,laliga05,皇家社会,79
laliga,西甲,laliga06,比利亚雷亚尔,79
laliga,西甲,laliga07,皇家贝蒂斯,78
laliga,西甲,laliga08,赫罗纳,76
laliga,西甲,laliga09,瓦伦西亚,75
laliga,西甲,laliga10,塞维利亚,75
laliga,西甲,laliga11,塞尔塔,75
laliga,西甲,laliga12,奥萨苏纳,74
laliga,西甲,laliga13,马略卡,73
laliga,西甲,laliga14,拉斯帕尔马斯,72
laliga,西甲,laliga15,阿拉维斯,72
laliga,西甲,laliga16,赫塔菲,72
laliga,西甲,laliga17,莱加内斯,71
laliga,西甲,laliga18,西班牙人,71
